#,Perguntas,Entidades,Entidades Buscadas
1,Qual a profissão de Arnold Schwarznegger?,Arnold Schwarzenegger,Arnold Schwarzenegger
2,Onde Arnold Schwarznegger nasceu?,Arnold Schwarzenegger,Neymar
3,Arnold Schwarznegger tem filhos?,Arnold Schwarzenegger,Mahatma Gandhi
4,Quem é Neymar?,Neymar,Nárnia
5,Neymar é casado?,Neymar,Arco do Triunfo
6,Onde Neymar vive?,Neymar,Afeganistão
7,Mahatma Gandhi é de que pais?,Mahatma Gandhi,LexCorp
8,Mahatma Gandhi se formou em que?,Mahatma Gandhi,UFLA
9,Quando nasceu Mahatma Gandhi?,Mahatma Gandhi,Oracle
10,O que é Nárnia?,Nárnia,Raposa
11,Qual a capital de Nárnia?,Nárnia,Donut
12,Quem vive em Nárnia ?,Nárnia,Nanotecnologia
13,O que é o Arco do Triunfo?,Arco do Triunfo,
14,Onde fica localizado?,Arco do Triunfo,
15,O que é o Arco do Triunfo?,Arco do Triunfo,
16,Onde fica localizado o Afeganistão?,Afeganistão,
17,Qual o número de habitantes do Afeganistão?,Afeganistão,
18,Qual a língua oficial do Afeganistão?,Afeganistão,
19,O que é a LexCorp?,LexCorp,
20,Quem comanda a LexCorp?,LexCorp,
21,Onde fica a sede da LexCorp?,LexCorp,
22,Quantos estudantes há na UFLA ?,UFLA,
23,Quem é o reitor da UFLA?,UFLA,
24,Quais cursos são ofertados na UFLA?,UFLA,
25,Em que ano foi fundada a Oracle?,Oracle,
26,O que a Oracle desenvolve?,Oracle,
27,Onde fica sediada a Oracle?,Oracle,
28,O que é uma raposa?,Raposa,
29,,Raposa,
30,,Raposa,
31,,Donut,
32,,Donut,
33,,Donut,
34,,Nanotecnologia,
35,,Nanotecnologia,
36,,Nanotecnologia,